NumAgents,SuccessRate,Network
5,0.247037037,Ring
10,0.669351852,Ring
15,0.859074074,Ring
20,0.93787037,Ring
25,0.969907407,Ring
50,0.999351852,Ring
100,1,Ring
5,0.13387037,Random
10,0.36887963,Random
15,0.533694444,Random
20,0.642935185,Random
25,0.722666667,Random
50,0.925944444,Random
100,0.995564815,Random
6,0.341111111,Caveman
8,0.463611111,Caveman
9,0.594351852,Caveman
10,0.55037037,Caveman
12,0.696080247,Caveman
15,0.814398148,Caveman
16,0.840833333,Caveman
18,0.867175926,Caveman
20,0.901527778,Caveman
21,0.938148148,Caveman
24,0.943,Caveman
25,0.94212963,Caveman
27,0.977592593,Caveman
28,0.972777778,Caveman
30,0.972376543,Caveman
32,0.987407407,Caveman
35,0.986111111,Caveman
36,0.990333051,Caveman
40,0.992916667,Caveman
45,0.996296296,Caveman
50,0.998425926,Caveman
